Streptococcaceae	Fusobacteriaceae	Neisseriaceae	Pasteurellaceae	Veillonellaceae	Prevotellaceae	Porphyromonadaceae	Leptotrichiaceae	Flavobacteriaceae	Spirochaetaceae	Family_XI	Carnobacteriaceae	Peptostreptococcaceae	Lachnospiraceae	Burkholderiaceae	Actinomycetaceae	Campylobacteraceae	Corynebacteriaceae	Micrococcaceae	Family_XIII	Cardiobacteriaceae	WCHB1-69	Moraxellaceae	Aerococcaceae	Defluviitaleaceae	Sphingomonadaceae
10C	43	0	8	5	18	1	0	1	1	0	1	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0
11C	4	10	9	5	1	1	0	5	0	0	3	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0
12C	9	20	0	5	0	2	0	9	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0
13C	7	3	15	21	1	1	0	0	1	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
14C	24	0	27	31	5	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
15C	23	28	0	0	5	10	5	0	0	0	0	0	0	4	0	0	2	0	1	1	0	0	0	0	0	0
16C	0	27	0	0	2	1	7	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
1C	17	0	0	25	2	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2C	48	0	9	0	16	0	0	5	8	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	2
3C	45	1	7	5	6	0	0	0	0	0	0	1	0	0	0	9	0	0	3	0	0	0	0	0	0	0
4C	26	28	0	6	0	9	12	1	2	3	3	4	0	0	0	1	1	0	0	1	0	0	0	0	0	2
5C	18	6	0	0	1	14	7	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
6C	31	2	11	1	1	26	0	2	1	0	6	1	0	1	1	0	0	0	0	0	0	0	5	0	0	0
7C	26	7	3	18	8	3	0	0	8	0	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
8C	1	45	4	2	1	5	14	11	0	4	0	0	1	0	0	0	3	0	0	2	0	1	0	0	0	0
9C	53	1	2	17	0	0	0	0	0	0	2	0	0	0	4	4	0	0	4	0	1	0	0	0	0	0
10P	7	13	0	0	2	9	7	2	0	6	0	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0
11P	4	7	2	0	5	3	0	0	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0
12P	37	0	3	21	8	0	2	1	1	0	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
13P	14	6	1	3	6	2	6	6	1	0	2	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0
14P	45	3	2	2	11	0	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0
15P	14	3	15	4	2	14	0	0	4	0	1	1	3	0	0	0	0	0	0	0	7	0	0	0	0	0
1P	46	33	3	2	6	6	0	1	1	0	0	1	0	1	0	2	4	0	0	0	3	0	0	0	0	0
2P	13	10	9	2	0	6	6	4	2	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0
3P	2	26	0	0	3	12	6	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0
4P	3	10	2	0	3	13	35	3	0	7	0	1	5	0	0	0	0	0	0	0	0	1	0	0	1	0
5P	0	27	2	0	22	0	10	4	7	0	0	1	1	10	0	0	0	0	0	0	0	0	0	2	0	0
6P	1	55	0	0	2	0	18	1	0	10	1	0	5	0	0	0	1	0	0	2	0	0	0	0	2	0
7P	29	6	4	16	4	28	1	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0
8P	88	0	4	14	31	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9P	12	11	1	3	1	3	1	6	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
