OTU,10C,10P,10SDP,11C,11P,11SDP,12C,12P,12SDP,13C,13P,13SDP,14C,14P,14SDP,15C,15P,15SDP,16C,1C,1P,1SDP,2C,2P,2SDP,3C,3P,3SDP,4C,4P,4SDP,5C,5P,5SDP,6C,6P,6SDP,7C,7P,7SDP,8C,8P,8SDP,9C,9P,9SDP
otu1,20,0,2,0,1,5,0,24,0,3,8,2,1,17,3,9,6,0,0,3,7,0,24,9,9,18,2,1,11,1,2,8,0,11,15,0,4,15,12,3,0,44,2,34,10,1
otu2,10,2,2,1,2,3,1,12,2,0,3,0,1,22,2,5,4,3,0,4,2,0,10,3,7,8,0,0,9,0,1,9,0,7,6,1,2,3,16,1,0,25,1,18,1,3
otu3,0,4,2,0,4,0,9,0,2,1,3,0,0,2,0,9,1,1,4,0,13,4,0,0,0,0,11,0,9,3,1,1,0,1,0,22,4,0,1,0,24,0,2,0,0,4
otu4,0,0,0,1,3,0,6,0,0,2,3,1,0,0,0,3,1,3,4,0,16,5,0,0,0,1,9,0,13,3,1,0,3,2,0,21,3,1,1,3,16,0,4,0,0,6
otu5,0,2,2,9,0,0,2,0,1,0,0,0,0,0,2,0,1,1,19,0,1,0,0,1,0,0,5,6,3,0,0,2,24,6,2,0,0,6,0,10,1,0,1,1,7,1
otu6,18,2,2,0,4,1,0,7,0,1,0,2,1,8,1,3,1,2,0,2,2,0,11,0,6,4,0,0,0,3,0,0,9,0,1,0,0,3,2,2,0,13,1,0,0,0
otu7,2,3,0,2,1,0,2,1,0,3,2,1,10,0,0,0,3,0,0,1,24,1,10,0,0,11,0,0,1,2,0,0,0,1,4,0,0,3,0,5,0,7,0,1,0,2
otu8,2,0,0,3,0,1,0,8,0,12,2,0,5,1,0,0,1,1,0,11,0,1,0,2,0,2,0,0,3,0,8,0,0,0,0,0,0,9,8,1,2,8,0,3,2,0
otu9,2,0,0,2,0,2,1,12,0,7,1,0,9,1,0,0,1,0,0,12,2,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,7,7,0,0,5,0,3,1,0
otu10,5,0,0,0,0,1,0,0,0,7,0,0,11,1,0,0,5,1,0,0,2,5,0,3,4,5,0,0,0,1,5,0,1,1,5,0,0,3,2,7,0,2,0,0,0,0
otu11,1,2,0,1,0,3,4,0,0,1,1,0,11,0,0,0,1,1,0,0,10,1,4,1,0,6,0,0,2,0,1,1,0,0,5,0,0,4,0,6,0,9,0,0,0,0
otu12,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,28,1,2,0,6,0,12,0,0,0,0,0,0,7,0,0,0
otu13,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,14,0,0,0,0,0,3,0,1,0,0,1,0,2,4,3,3,0,3,0,10,0,0,1,0,3,0,2,0,0,2
otu14,1,0,3,3,0,7,0,6,0,3,2,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,1,3,0,1,2,0,0,6,1,1,2,0,1,0,1,1,2,4,0
otu15,2,0,0,1,0,0,0,0,0,5,0,0,6,0,0,0,3,2,0,0,1,10,0,2,3,1,0,0,0,0,2,0,1,0,5,0,0,0,1,6,0,2,2,0,0,1
otu16,0,0,1,1,0,2,0,1,0,0,2,1,2,3,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,12,0,0,0,1,2,0,1,1,18,0,0,0,1
otu17,0,4,3,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,6,3,5,0,2,0,2,0,0,1,0,8,0,0,0,0,3
otu18,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,2,0,16,1,0,0,0,0,0,2
otu19,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,11,0,3,1,0,1,0,0,0,0,0,0,0,0,0
otu20,0,0,0,2,2,1,3,1,0,2,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,4,0,0
otu21,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0
otu22,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,5,2,4,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0
otu23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,1,0
otu24,0,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,3,0,2,0,1,0,4,0,0,0,0,0,0,1,0,0,0
otu25,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,1,0,3,0,1,0,1,2,0,3,0,0,0,0,2,0
otu26,2,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,1,1,1,0,0,4,1,0,1,1,1,0,0,0,3,0,0,0,2,0,0,0,0
otu27,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,2,1,3,0,1,1,0,0,1,5,0,0,0,0,1,0,0,0,0,0
otu28,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0
otu29,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,5,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu30,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0
otu31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
otu32,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,6,3,0,2,0,1,0
otu33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,2,1,1,1,0,0,2,0,4,0,0,0,0,1,0,0,0,0,1
otu34,7,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
otu35,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,2,3,0,0,0,0,0,0,0,0
otu36,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0
otu37,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
otu38,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,1,0,0,0
otu39,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,2,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
otu40,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0
otu41,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,10,0,0,0,0,0
otu42,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
otu43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
otu44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,0,1,1,0,0,0,0,0,0,0
otu45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
otu46,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1
otu47,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu48,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,0
otu49,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
otu50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,1,1
otu52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
otu53,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
otu54,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
otu55,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
otu56,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0
otu57,0,0,0,0,0,1,0,1,0,1,1,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0
otu60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0
