mag.name	min.bac.name	min.bac.dist
CP.bin.8	SEQF1967	0.0347146894697261
CP.bin.9	SEQF1689	0.0590667351184894
CP.bin.6	SEQF1487	0.211603684757579
CP.bin.7	SEQF2461	0.0887522914763928
CP.bin.3	SEQF1451	0.0799484369910981
CP.bin.1	SEQF1940	0.0628605883715747
control.bin.10	SEQF2012	0.0334824765091212
CPT2DM.bin.5	SEQF1899	0.0798835488782351
CPT2DM.bin.3	SEQF1940	0.228090808665358
CPT2DM.bin.9	SEQF1175	0.0962250448649376
CP.bin.14	SEQF1166	0.12457493197286
CP.bin.10	SEQF1468	0
CP.bin.11	SEQF2366	0.0213152278159744
CPT2DM.bin.14	SEQF1058	0
CPT2DM.bin.11	SEQF2554	0.0280056016805602
CPT2DM.bin.10	SEQF2616	0.0293147167993398
CPT2DM.bin.12	SEQF1907	0.0391810547415472
CPT2DM.bin.18	SEQF2982	0.0378273393757986
control.bin.3	SEQF2966	0.0523321521352299
control.bin.2	SEQF2351	0.029630442547298
control.bin.5	SEQF2244	0.0245588336206301
control.bin.7	SEQF1935	0.070390062359196
control.bin.6	SEQF2067	0.0564932682866032
CPT2DM.bin.24	SEQF1648	0.0778892423562012
CPT2DM.bin.25	SEQF2796	0.0466760028009337
CPT2DM.bin.26	SEQF1451	0.0401771701845154
